instName	libName	libUrl	code	codeUrl
Northern Ontario School of Medicine, NW Campus, Lakehead University	Health Sciences Library	http://www.nosm.ca/library.aspx		
Northwestern University Feinberg School of Medicine	Galter Health Sciences Library	http://galter.northwestern.edu/		
Nova Southeastern University	Health Professions Div. Libr.	http://www.nova.edu/hpdlibrary/		
NYU Langone Medical Center	NYU Health Sciences Library	http://hsl.med.nyu.edu/		
Oakland University William Beaumont School of Medicine	Medical Library	https://medlib.oakland.edu/		
Ohio State University	Health Sciences Library	https://hsl.osu.edu/		
Oregon Health & Science University	Library	http://www.ohsu.edu/xd/education/library/		
Penn State Hershey, Milton S. Hershey Med Ct, Penn State College of Medicine	George T. Harrell Health Sciences Library	https://www.libraries.psu.edu/psul/hershey.html		
Philadelphia College of Osteo. Med.	O.J. Snyder Memorial Medical Library	http://welcometopcom.com/tours/phl-library.php		
Quinnipiac University	Edward and Barbara Netter Library	https://www.quinnipiac.edu/academics/libraries/edward-and-barbara-netter-library/		
Rosalind Franklin University of Medicine and Science	Boxer Library	https://rosalindfranklin.edu/library/		
Rowan University, School of Osteopathic Medicine	Health Sciences Library	http://www.lib.rowan.edu/som		
Rowan University, Cooper Medical School	Library	http://www.lib.rowan.edu/cmsru		
Rush University Medical Center	Library of Rush University	http://rushu.libguides.com/LibraryHomePage		
Rutgers, Robert Wood Johnson Medical School	RWJ Library of the Health Sciences	http://www.libraries.rutgers.edu/rwj		
Rutgers	George F. Smith Library of the Health Sciences	http://www.libraries.rutgers.edu/smith		
Saint Louis University	Saint Louis Univ. Medical Center Health Sciences Ctr Library	http://lib.slu.edu/mcl		
Seton Hall University	Walsh Library	http://library.shu.edu/walshgallery		
Southern Illinois University	School of Medicine Library	http://www.siumed.edu/lib/		
Stanford Univ Medical Center	Lane Medical Library	http://lane.stanford.edu/index.html		
Stony Brook University	Health Sciences Ctr Library	http://library.stonybrook.edu/health-sciences-library/		
SUNY Upstate Medical University	Health Science Center Library	http://library.upstate.edu/		
Temple University	Ginsburg Health Sciences Library	http://sites.temple.edu/hslblog/tag/ginsburg-library/		
Texas A & M University	Medical Sciences Library	http://msl.library.tamu.edu/		
Texas Tech Univ Health Sci Ctr	Preston Smith Library of the Health Sciences	http://www.ttuhsc.edu/libraries/		
The Commonwealth Medical College	Medical Library	http://library.tcmedc.org/		
The University of Toledo	Raymon H. Mulford Library	http://www.utoledo.edu/library/mulford/index.html		
Thomas Jefferson University	Scott Memorial Library	http://library.jefferson.edu/		
Tufts University	Hirsh Health Sciences Library	http://hirshlibrary.tufts.edu/		
Tulane University	Rudolph Matas Library of the Health Sciences	http://matas.tulane.edu/		
U AZ College of Medicine-Phx	Arizona Health Sciences Library-Phoenix	http://ahsl.arizona.edu/		
U of N Carolina at Chapel Hill	Health Sciences Library	http://hsl.lib.unc.edu/		
UC Irvine	UCI Libraries	http://www.lib.uci.edu/		
UCLA 	Louise M. Darling Biomedical Library	http://www.library.ucla.edu/biomed		
Univ of Calif, San Francisco	Library and Center for Knowledge Management	https://www.library.ucsf.edu/		
Univ of California Davis	Blaisdell Medical Library	https://www.lib.ucdavis.edu/dept/hsl/		
Univ of Connecticut Hlt Ctr	Lyman Maynard Stowe Library	http://library.uchc.edu/		
Univ of North Texas Health Sci Ctr	Gibson D. Lewis Health Science Library	http://library.hsc.unt.edu/		
Univ of Rochester Medical Ctr	Edward G. Miner Library	https://www.urmc.rochester.edu/libraries/miner/		
Univ of Texas Hlt Sci Ctr	Briscoe Library	http://library.uthscsa.edu/		
Univ of Texas MD Anderson Cancer Ctr	Research Medical Library - Unit 1499	http://www3.mdanderson.org/library/		
Univ of Texas Southwestern Med Ctr	Health Sciences Digital Library and Learning Center	http://www.utsouthwestern.edu/education/library.html		
Univ of Virginia Health System	Claude Moore Health Sciences Library	https://www.hsl.virginia.edu/		
Univ of Wisconsin-Madison	Ebling Library	http://ebling.library.wisc.edu/		
Univ. of Illinois at Chicago	Library of the Health Sciences	http://library.uic.edu/lhs		
Univ. of Minnesota,Twin Cities	Health Sciences Libraries	https://hsl.lib.umn.edu/biomed		
Univ. of Nevada School of Med.	Savitt Medical Library	http://guides.library.unr.edu/savitt-medical		
University at Buffalo (SUNY)	Health Sciences Library	http://library.buffalo.edu/hsl/		
University of Alabama at Birmingham	UAB Libraries	https://www.uab.edu/lister/		
University of Arizona	Arizona Health Sciences Library	http://ahsl.arizona.edu/		
University of Arkansas for Medical Sciences	UAMS LIbrary	http://library.uams.edu/		
University of Calgary	University of Calgary - Libraries & Cultural Resources	http://library.ucalgary.ca/		
University of California Riverside	Orbach Science Library	http://library.ucr.edu/		
University of Central Florida College of Medicine	Harriet F. Ginsburg Health Sciences Library	https://med.ucf.edu/library/		
University of Chicago	The John Crerar Library	http://www.lib.uchicago.edu/e/crerar/index.html		
University of Cincinnati	Donald C. Harrison Health Sciences Library	http://www.libraries.uc.edu/hsl.html		
University of Colorado Anschutz Medical Campus	Health Sciences Library	http://hslibrary.ucdenver.edu/		
University of Florida	Health Science Center Libraries	http://library.health.ufl.edu/		
University of Hawaii at Manoa	Health Sciences Library, John A. Burns Schl of Med	http://hslib.jabsom.hawaii.edu/		
University of Iowa	Hardin Library for the Hlt Sci	http://www.lib.uiowa.edu/hardin/		
University of Kansas Medical Center	Dykes Library	http://library.kumc.edu/		
University of Kentucky	Medical Center Library	http://libraries.uky.edu/MCL		
University of Louisville	Kornhauser Health Sci Library	http://louisville.edu/library		
University of Manitoba	Neil John Maclean Health Science Library	http://libguides.lib.umanitoba.ca/health/		
University of Maryland, Baltimore	Health Sciences & Human Svcs Library	http://www.hshsl.umaryland.edu/		
University of Massachusetts Med Ctr	Lamar Soutter Library	http://library.umassmed.edu/		
University of Michigan	Taubman Health Sciences Library	http://www.lib.umich.edu/taubman-health-sciences-library		
University of Mississippi Med Ctr	Rowland Medical Library	https://www.umc.edu/library/		
University of Missouri	J. Otto Lottes Health Sciences Library	http://library.muhealth.org/		
University of Missouri - Kansas City	Health Sciences Librariy	http://library.umkc.edu/hsl/		
University of Nebraska Medical Center	McGoogan Library of Medicine	http://www.unmc.edu/library/		
University of New Mexico	Health Sciences Library & Informatics Center	http://hslic.unm.edu/		
University of North Dakota	Library of the Health Sciences	https://undmedlibrary.org/		
University of Oklahoma	Robert M Bird Health Science Library	http://library.ouhsc.edu/index		
University of Ottawa	Health Sciences Library	http://biblio.uottawa.ca/en		
University of Pennsylvania	Health Sciences Libraries	http://www.library.upenn.edu/biomed/		
University of Pittsburgh	Health Sciences Library System	http://www.hsls.pitt.edu/		
University of Saskatchewan	Leslie and Irene Dube Health Sciences Library	http://library.usask.ca/hsl/		
University of South Alabama	Biomedical Library	http://biomedicallibrary.southalabama.edu/library/		
University of South Carolina	School of Medicine Library	http://uscm.med.sc.edu/		
University of South Dakota School of Med	University Libraries and Wegner Health Science Information Center	http://www.usd.edu/library/		
University of South Florida	Shimberg Health Sciences Library	http://library.hsc.usf.edu/		
University of Southern California	Norris Medical Library	http://nml.usc.edu/		
University of Tennessee Graduate School of Medicine	Preston Medical Library	http://gsm.utmck.edu/med_library/main.cfm		
University of Tennessee Health Sciences Center	Health Sciences Library	http://library.uthsc.edu/		
University of Texas Medical Branch	Moody Medical Library	http://ar.utmb.edu/ar/library/tabid/155/default.aspx		
University of Texas Medical School-Houston	Learning Resource Center	https://med.uth.edu/lrc/		
University of Texas Rio Grande Valley	School of Medicine Libraries	http://www.utrgv.edu/library/		
University of Toronto	Gerstein Science Information Centre	http://gerstein.library.utoronto.ca/		
University of Utah	Spencer S. Eccles Hlt Sci Lib	http://library.med.utah.edu/		
University of Vermont	Charles A. Dana Med Library	http://library.uvm.edu/dana/		
University of Washington	Health Sciences Library	http://hsl.uw.edu/		
Vanderbilt University	Eskind Biomedical Library	http://www.mc.vanderbilt.edu/diglib/		
Virginia Commonwealth University	Tompkins-McCaw Library for the Health Sci	http://www.library.vcu.edu/about/libraries/tompkins-mccaw/		
Washington State University	Spokane Academic Library	https://spokane.wsu.edu/library/		
Washington University School of Medicine	Bernard Becker Medical Library	https://becker.wustl.edu/		
Wayne State	Shiffman Medical Library	https://library.wayne.edu/shiffman		
Weill Cornell Med College	Samuel J. Wood Library	http://library.med.cornell.edu/		
Weill Cornell Medical College in Qatar	Distributed eLibrary	http://www.elibrary.qatar-med.cornell.edu/		
Western Michigan University Homer Stryker M.D. School of Medicine	WMU Homer Stryker M.D. School of Medicine Library	http://libguides.med.wmich.edu/home		
Western University of Health Sciences	Harriet K. & Philip Pumerantz Library	http://www.westernu.edu/library/		
Yale University	Cushing/Whitney Medical Library	http://library.medicine.yale.edu/		
